 Tempo  Posicao  Velocidade
   0.000      0.00000      5.00000
   0.100      0.50000      5.00000
   0.200      1.00000      5.00000
   0.300      1.50000      5.00000
   0.400      2.00000      5.00000
   0.500      2.50000      5.00000
   0.600      3.00000      5.00000
   0.700      3.50000      5.00000
   0.800      4.00000      5.00000
   0.900      4.50000      5.00000
   1.000      5.00000      5.00000
   1.100      5.50000      5.00000
   1.200      6.00000      5.00000
   1.300      6.50000      5.00000
   1.400      7.00000      5.00000
   1.500      7.50000      5.00000
   1.600      8.00000      5.00000
   1.700      8.50000      5.00000
   1.800      9.00000      5.00000
   1.900      9.50000      5.00000
   2.000     10.00000      5.00000
